word,frequency,percentage,percentage_str,pos
事件,3,0.03,0.03%,n
农村,3,0.03,0.03%,n
撞船,3,0.03,0.03%,n
哥,3,0.03,0.03%,n
访美,3,0.03,0.03%,v
签,3,0.03,0.03%,v
公主,3,0.03,0.03%,n
要求,3,0.03,0.03%,v
指数,3,0.03,0.03%,n
跌幅,3,0.03,0.03%,n
迅猛,3,0.03,0.03%,ad
七,3,0.03,0.03%,m
巨头,3,0.03,0.03%,n
小,3,0.03,0.03%,a
孙颖莎,3,0.03,0.03%,nr
恋爱,3,0.03,0.03%,v
视频,3,0.03,0.03%,n
白敬亭,3,0.03,0.03%,nr
阿凡,3,0.03,0.03%,n
这能,3,0.03,0.03%,n
关注,3,0.03,0.03%,v
免费,3,0.03,0.03%,vn
仅,3,0.03,0.03%,d
买家,3,0.03,0.03%,n
分享,3,0.03,0.03%,v
四年,3,0.03,0.03%,m
关闭,3,0.03,0.03%,v
南师大,3,0.03,0.03%,nr
达,3,0.03,0.03%,v
曼联,3,0.03,0.03%,ns
致,3,0.03,0.03%,v
发生,3,0.03,0.03%,v
年内,3,0.03,0.03%,t
合作,3,0.03,0.03%,vn
烟闷,3,0.03,0.03%,n
不知,3,0.03,0.03%,v
领导,3,0.03,0.03%,n
设定,3,0.03,0.03%,v
原神,3,0.03,0.03%,n
维护,3,0.03,0.03%,v
竟,3,0.03,0.03%,d
芯片,3,0.03,0.03%,n
铁道,3,0.03,0.03%,n
星穹,3,0.03,0.03%,n
东来,3,0.03,0.03%,t
提供,3,0.03,0.03%,v
女星,3,0.03,0.03%,n
中概,3,0.03,0.03%,n
车辆,3,0.03,0.03%,n
崩坏,3,0.03,0.03%,v
斤,3,0.03,0.03%,m
突破,3,0.03,0.03%,vn
起来,3,0.03,0.03%,v
马上,3,0.03,0.03%,d
之光,3,0.03,0.03%,n
有何,3,0.03,0.03%,r
万美元,3,0.03,0.03%,m
位,3,0.03,0.03%,q
女子,3,0.03,0.03%,n
具体情况,3,0.03,0.03%,l
经济,3,0.03,0.03%,n
媒体,3,0.03,0.03%,n
督办,3,0.03,0.03%,v
肯定,3,0.03,0.03%,v
